date, pm25
2020/4/13, 53
2020/4/14, 57
2020/4/15, 63
2020/4/16, 60
2020/4/17, 80
2020/4/18, 63
2020/4/19, 67
2020/4/20, 77
2020/4/21, 77
2020/4/22, 72
2020/4/23, 70
2020/4/24, 73
2020/4/25, 73
2020/4/26, 77
2020/4/27, 82
2020/4/28, 118
2020/4/29, 76
2020/4/30, 53
2020/5/1, 67
2020/5/2, 71
2020/5/3, 72
2020/5/4, 58
2020/5/5, 61
2020/5/6, 60
2020/5/7, 70
2020/5/8, 62
2020/5/9, 59
2020/5/10, 69
2020/5/11, 67
2020/5/12, 73
2020/5/13, 64
2020/5/14, 51
2020/5/15, 57
2020/5/16, 68
2020/5/17, 67
2020/5/18, 75
2020/5/19, 73
2020/5/20, 68
2020/5/21, 61
2020/5/22, 65
2020/5/23, 73
2020/5/24, 82
2020/5/25, 98
2020/5/26, 104
2020/5/27, 95
2020/5/28, 89
2020/5/29, 86
2020/5/30, 74
2020/5/31, 77
2020/6/1, 70
2020/6/2, 59
2020/6/3, 71
2020/6/4, 84
2020/6/5, 75
2020/6/6, 70
2020/6/7, 74
2020/6/8, 74
2020/6/9, 60
2020/6/10, 55
2020/6/11, 67
2020/6/12, 68
2020/6/13, 69
2020/6/14, 76
2020/6/15, 75
2020/6/16, 69
2020/6/17, 63
2020/6/18, 73
2020/6/19, 77
2020/6/20, 69
2020/6/21, 83
2020/6/22, 84
2020/6/23, 71
2020/6/24, 66
2020/6/25, 69
2020/6/26, 99
2020/6/27, 79
2020/6/28, 67
2020/6/29, 66
2020/6/30, 93
2020/1/1, 131
2020/1/2, 130
2020/1/3, 135
2020/1/4, 80
2020/1/5, 82
2020/1/6, 90
2020/1/7, 69
2020/1/8, 87
2020/1/9, 68
2020/1/10, 113
2020/1/11, 113
2020/1/12, 120
2020/1/13, 73
2020/1/14, 109
2020/1/15, 149
2020/1/16, 142
2020/1/17, 137
2020/1/18, 186
2020/1/19, 179
2020/1/20, 143
2020/1/21, 144
2020/1/22, 139
2020/1/23, 112
2020/1/24, 110
2020/1/25, 135
2020/1/26, 106
2020/1/27, 140
2020/1/28, 152
2020/1/29, 124
2020/1/30, 108
2020/1/31, 103
2020/2/1, 56
2020/2/2, 68
2020/2/3, 127
2020/2/4, 101
2020/2/5, 93
2020/2/6, 121
2020/2/7, 99
2020/2/8, 68
2020/2/9, 103
2020/2/10, 92
2020/2/11, 100
2020/2/12, 125
2020/2/13, 101
2020/2/14, 87
2020/2/15, 96
2020/2/16, 65
2020/2/17, 106
2020/2/18, 75
2020/2/19, 117
2020/2/20, 147
2020/2/21, 138
2020/2/22, 92
2020/2/23, 115
2020/2/24, 107
2020/2/25, 88
2020/2/26, 79
2020/2/27, 66
2020/2/28, 131
2020/2/29, 126
2020/3/1, 123
2020/3/2, 113
2020/3/3, 96
2020/3/4, 113
2020/3/5, 84
2020/3/6, 81
2020/3/7, 96
2020/3/8, 124
2020/3/9, 131
2020/3/10, 131
